Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
0.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,104.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,19.0
0.0,0.0,0.0,0.0,23.0,0.0,0.0,6.0,104.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,24.0
1.0,0.0,0.0,2.0,42.0,0.0,0.0,9.0,213.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,27.0
1.0,0.0,0.0,2.0,62.0,0.0,0.0,9.0,282.0,5.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,33.0
2.0,0.0,0.0,3.0,97.0,0.0,3.0,5.0,336.0,8.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,35.0
3.0,0.0,0.0,4.0,140.0,0.0,3.0,13.0,512.0,17.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,7.0,0.0,0.0,64.0
3.0,0.0,0.0,4.0,164.0,0.0,3.0,13.0,605.0,23.0,0.0,1.0,0.0,14.0,2.0,0.0,2.0,7.0,0.0,0.0,67.0
5.0,0.0,0.0,11.0,211.0,1.0,10.0,14.0,865.0,40.0,3.0,1.0,1.0,16.0,2.0,1.0,2.0,10.0,2.0,0.0,68.0
7.0,0.0,0.0,11.0,282.0,3.0,18.0,13.0,1086.0,49.0,3.0,1.0,1.0,39.0,4.0,1.0,5.0,17.0,2.0,0.0,99.0
8.0,0.0,1.0,12.0,359.0,4.0,27.0,14.0,1413.0,76.0,4.0,1.0,2.0,60.0,6.0,2.0,5.0,29.0,2.0,0.0,116.0
9.0,1.0,2.0,12.0,450.0,4.0,34.0,17.0,1931.0,93.0,5.0,4.0,4.0,87.0,6.0,2.0,7.0,40.0,4.0,0.0,144.0
11.0,1.0,2.0,16.0,528.0,8.0,51.0,32.0,2020.0,130.0,5.0,8.0,7.0,148.0,11.0,2.0,8.0,61.0,4.0,1.0,164.0
14.0,2.0,5.0,37.0,617.0,8.0,55.0,50.0,2616.0,151.0,6.0,8.0,9.0,290.0,20.0,5.0,18.0,98.0,4.0,1.0,193.0
25.0,2.0,8.0,50.0,666.0,19.0,63.0,77.0,3242.0,183.0,6.0,8.0,12.0,272.0,26.0,8.0,19.0,116.0,6.0,4.0,237.0
26.0,2.0,10.0,41.0,767.0,33.0,65.0,86.0,3785.0,206.0,6.0,18.0,22.0,372.0,34.0,9.0,19.0,131.0,10.0,2.0,271.0
26.0,2.0,12.0,67.0,849.0,21.0,85.0,108.0,4412.0,278.0,7.0,12.0,32.0,394.0,42.0,10.0,24.0,141.0,12.0,2.0,330.0
59.0,2.0,16.0,67.0,926.0,33.0,105.0,136.0,4852.0,330.0,7.0,25.0,48.0,465.0,60.0,12.0,33.0,159.0,16.0,7.0,445.0
56.0,2.0,21.0,79.0,1070.0,67.0,146.0,172.0,5085.0,422.0,8.0,25.0,64.0,691.0,79.0,12.0,44.0,211.0,21.0,6.0,473.0
65.0,2.0,26.0,89.0,1228.0,78.0,206.0,275.0,5630.0,542.0,8.0,33.0,80.0,688.0,97.0,14.0,53.0,247.0,32.0,12.0,485.0
100.0,2.0,38.0,95.0,1384.0,110.0,254.0,319.0,6267.0,619.0,7.0,54.0,92.0,897.0,122.0,16.0,71.0,282.0,38.0,13.0,555.0
108.0,3.0,43.0,125.0,1559.0,115.0,298.0,328.0,6994.0,638.0,8.0,64.0,92.0,1231.0,122.0,39.0,95.0,282.0,45.0,33.0,654.0
126.0,7.0,55.0,151.0,1789.0,125.0,358.0,384.0,7832.0,708.0,12.0,82.0,129.0,1584.0,169.0,40.0,114.0,472.0,57.0,41.0,719.0
140.0,11.0,56.0,151.0,2031.0,155.0,418.0,501.0,8209.0,757.0,13.0,97.0,163.0,2007.0,186.0,49.0,129.0,587.0,75.0,44.0,841.0
228.0,13.0,73.0,249.0,2160.0,163.0,471.0,603.0,8393.0,797.0,25.0,105.0,199.0,2536.0,204.0,52.0,179.0,679.0,90.0,56.0,980.0
238.0,13.0,87.0,171.0,2350.0,175.0,584.0,694.0,8785.0,842.0,26.0,123.0,232.0,1821.0,222.0,71.0,210.0,790.0,99.0,63.0,1079.0
229.0,19.0,89.0,320.0,2532.0,189.0,661.0,727.0,9351.0,883.0,27.0,157.0,272.0,2277.0,242.0,81.0,254.0,866.0,121.0,77.0,1191.0
267.0,23.0,94.0,342.0,2698.0,210.0,750.0,868.0,10581.0,954.0,31.0,178.0,281.0,2426.0,289.0,83.0,275.0,921.0,132.0,84.0,1368.0
280.0,27.0,102.0,376.0,3122.0,226.0,814.0,894.0,10449.0,1030.0,32.0,178.0,295.0,2537.0,330.0,94.0,310.0,1076.0,148.0,89.0,1487.0
291.0,26.0,109.0,526.0,3265.0,244.0,841.0,950.0,10905.0,1011.0,34.0,204.0,357.0,2764.0,374.0,99.0,310.0,1162.0,148.0,91.0,1622.0
307.0,34.0,116.0,441.0,3474.0,252.0,906.0,1074.0,11262.0,1086.0,33.0,230.0,373.0,2925.0,413.0,101.0,339.0,1250.0,167.0,95.0,1723.0
344.0,38.0,124.0,562.0,3655.0,266.0,991.0,1152.0,11944.0,1143.0,35.0,266.0,366.0,3041.0,556.0,112.0,414.0,1296.0,190.0,97.0,1773.0
360.0,37.0,125.0,569.0,3769.0,279.0,1118.0,1180.0,12429.0,1141.0,35.0,294.0,407.0,3283.0,612.0,112.0,500.0,1327.0,195.0,115.0,1874.0
381.0,45.0,129.0,595.0,4011.0,282.0,1118.0,1198.0,12471.0,1153.0,35.0,276.0,423.0,3533.0,661.0,117.0,512.0,1370.0,203.0,116.0,1903.0
397.0,50.0,143.0,611.0,4102.0,296.0,1195.0,1243.0,12941.0,1168.0,34.0,290.0,431.0,3428.0,658.0,128.0,522.0,1386.0,212.0,116.0,1941.0
391.0,54.0,148.0,594.0,4130.0,289.0,1233.0,1317.0,13145.0,1165.0,35.0,293.0,431.0,3437.0,696.0,137.0,559.0,1395.0,220.0,118.0,1989.0
408.0,54.0,149.0,634.0,4118.0,275.0,1300.0,1332.0,13207.0,1115.0,37.0,311.0,434.0,3626.0,714.0,141.0,575.0,1413.0,219.0,117.0,2036.0
413.0,54.0,160.0,607.0,4257.0,266.0,1308.0,1293.0,13269.0,1152.0,40.0,326.0,421.0,3599.0,744.0,146.0,568.0,1417.0,218.0,112.0,2068.0
416.0,57.0,182.0,623.0,4310.0,259.0,1350.0,1292.0,13113.0,1150.0,38.0,339.0,417.0,3794.0,763.0,141.0,576.0,1430.0,218.0,110.0,2015.0
437.0,60.0,200.0,647.0,4279.0,262.0,1382.0,1320.0,13183.0,1140.0,39.0,351.0,423.0,3752.0,771.0,146.0,608.0,1437.0,213.0,110.0,2049.0
425.0,63.0,193.0,681.0,4217.0,233.0,1429.0,1290.0,13328.0,1150.0,37.0,352.0,434.0,3891.0,780.0,147.0,627.0,1415.0,211.0,86.0,2015.0
414.0,64.0,187.0,717.0,4214.0,235.0,1432.0,1291.0,13326.0,1138.0,39.0,292.0,432.0,3916.0,733.0,151.0,632.0,1387.0,204.0,119.0,2003.0
406.0,64.0,184.0,711.0,4176.0,235.0,1432.0,1303.0,13257.0,1141.0,39.0,297.0,433.0,3922.0,722.0,149.0,637.0,1395.0,205.0,130.0,2036.0
404.0,64.0,183.0,706.0,4116.0,229.0,1421.0,1246.0,13138.0,1101.0,40.0,389.0,438.0,3985.0,708.0,148.0,635.0,1350.0,198.0,135.0,1876.0
393.0,65.0,185.0,705.0,4130.0,203.0,1437.0,1262.0,12976.0,1107.0,34.0,333.0,431.0,3916.0,729.0,143.0,628.0,1326.0,196.0,140.0,1839.0
363.0,67.0,183.0,698.0,4077.0,204.0,1442.0,1257.0,13032.0,1078.0,34.0,327.0,414.0,3926.0,716.0,131.0,629.0,1294.0,192.0,136.0,1804.0
358.0,74.0,182.0,690.0,3945.0,200.0,1437.0,1227.0,13079.0,1052.0,32.0,316.0,405.0,3891.0,711.0,133.0,630.0,1267.0,185.0,147.0,1778.0
369.0,72.0,184.0,667.0,3871.0,200.0,1467.0,1149.0,13200.0,1078.0,32.0,302.0,397.0,3819.0,700.0,137.0,620.0,1234.0,176.0,135.0,1716.0
400.0,73.0,179.0,608.0,3826.0,188.0,1469.0,1176.0,13145.0,1063.0,31.0,228.0,383.0,3810.0,680.0,135.0,605.0,1221.0,168.0,125.0,1677.0
405.0,76.0,172.0,686.0,3821.0,189.0,1514.0,1226.0,13171.0,1067.0,32.0,231.0,382.0,3723.0,671.0,134.0,605.0,1217.0,165.0,124.0,1672.0
397.0,74.0,173.0,700.0,3801.0,194.0,1543.0,1100.0,13199.0,1043.0,30.0,216.0,379.0,3762.0,673.0,131.0,605.0,1227.0,164.0,126.0,1660.0
385.0,72.0,167.0,693.0,3713.0,187.0,1538.0,1079.0,13117.0,994.0,31.0,198.0,360.0,3704.0,665.0,133.0,590.0,1193.0,159.0,123.0,1621.0
366.0,69.0,166.0,694.0,3676.0,185.0,1544.0,1060.0,12388.0,952.0,29.0,214.0,339.0,3764.0,661.0,133.0,573.0,1153.0,149.0,117.0,1597.0
362.0,68.0,161.0,698.0,3639.0,171.0,1519.0,1002.0,11598.0,933.0,30.0,213.0,330.0,3599.0,652.0,136.0,567.0,1105.0,142.0,117.0,1556.0
362.0,68.0,159.0,681.0,3530.0,168.0,1562.0,1006.0,10989.0,892.0,31.0,207.0,318.0,3594.0,654.0,135.0,568.0,1081.0,141.0,117.0,1477.0
357.0,67.0,148.0,651.0,3455.0,165.0,1555.0,986.0,11264.0,885.0,31.0,185.0,319.0,3506.0,650.0,139.0,563.0,1044.0,138.0,112.0,1448.0
358.0,66.0,147.0,647.0,3427.0,162.0,1573.0,980.0,11039.0,872.0,29.0,179.0,312.0,3600.0,650.0,136.0,565.0,1032.0,142.0,110.0,1453.0
353.0,71.0,140.0,590.0,3327.0,160.0,1564.0,1008.0,10656.0,862.0,29.0,179.0,292.0,3409.0,634.0,133.0,551.0,1004.0,129.0,107.0,1407.0
344.0,72.0,135.0,576.0,3246.0,154.0,1571.0,952.0,10509.0,811.0,23.0,176.0,279.0,3486.0,624.0,117.0,535.0,994.0,117.0,100.0,1368.0
353.0,68.0,136.0,586.0,3155.0,156.0,1571.0,874.0,9982.0,798.0,20.0,158.0,263.0,3300.0,591.0,110.0,510.0,959.0,119.0,100.0,1329.0
355.0,66.0,130.0,568.0,3071.0,152.0,1580.0,847.0,9547.0,766.0,20.0,164.0,252.0,3175.0,547.0,114.0,493.0,897.0,113.0,95.0,1289.0
349.0,65.0,132.0,598.0,2964.0,137.0,1604.0,842.0,9213.0,747.0,20.0,155.0,229.0,3175.0,517.0,114.0,485.0,853.0,113.0,89.0,1234.0
348.0,64.0,126.0,581.0,2940.0,142.0,1603.0,830.0,9187.0,726.0,21.0,152.0,223.0,3080.0,512.0,115.0,478.0,835.0,108.0,89.0,1221.0
351.0,64.0,120.0,578.0,2887.0,143.0,1607.0,837.0,8205.0,725.0,21.0,166.0,224.0,3044.0,500.0,116.0,475.0,825.0,106.0,93.0,1222.0
333.0,63.0,119.0,577.0,2802.0,149.0,1600.0,799.0,7935.0,724.0,19.0,151.0,204.0,2903.0,499.0,114.0,462.0,763.0,97.0,86.0,1187.0
328.0,55.0,113.0,549.0,2753.0,146.0,1575.0,767.0,7754.0,692.0,18.0,133.0,187.0,2839.0,496.0,104.0,449.0,715.0,93.0,83.0,1156.0
322.0,53.0,111.0,513.0,2352.0,120.0,1532.0,745.0,7439.0,513.0,18.0,139.0,179.0,2820.0,481.0,103.0,441.0,672.0,84.0,80.0,1126.0
313.0,53.0,108.0,507.0,2309.0,137.0,1477.0,734.0,7191.0,457.0,18.0,123.0,165.0,2684.0,467.0,96.0,429.0,644.0,73.0,75.0,1087.0
319.0,52.0,104.0,497.0,2229.0,136.0,1466.0,715.0,7074.0,445.0,10.0,123.0,157.0,2728.0,455.0,99.0,426.0,637.0,73.0,73.0,1078.0
316.0,51.0,99.0,485.0,2194.0,137.0,1441.0,695.0,7141.0,443.0,9.0,120.0,153.0,2665.0,450.0,102.0,412.0,625.0,71.0,76.0,1058.0
316.0,53.0,97.0,462.0,2167.0,134.0,1430.0,678.0,6946.0,433.0,10.0,113.0,152.0,2552.0,436.0,100.0,403.0,619.0,69.0,76.0,1056.0
300.0,53.0,96.0,433.0,2108.0,124.0,1406.0,651.0,6710.0,429.0,10.0,110.0,141.0,2462.0,423.0,103.0,393.0,595.0,67.0,59.0,1024.0
296.0,50.0,90.0,458.0,1992.0,118.0,1442.0,607.0,6559.0,395.0,9.0,110.0,129.0,2297.0,401.0,102.0,384.0,554.0,64.0,53.0,992.0
275.0,50.0,83.0,442.0,1899.0,111.0,1380.0,582.0,6328.0,369.0,8.0,98.0,110.0,2297.0,390.0,99.0,370.0,528.0,56.0,51.0,959.0
260.0,50.0,75.0,446.0,1843.0,107.0,1362.0,563.0,6102.0,341.0,6.0,87.0,105.0,2153.0,382.0,100.0,329.0,483.0,53.0,47.0,910.0
256.0,46.0,70.0,441.0,1759.0,104.0,1359.0,543.0,5865.0,317.0,8.0,64.0,97.0,2153.0,377.0,98.0,294.0,443.0,51.0,48.0,475.0
243.0,46.0,68.0,455.0,1712.0,101.0,1349.0,522.0,5776.0,314.0,9.0,69.0,92.0,2161.0,377.0,93.0,289.0,428.0,48.0,48.0,445.0
240.0,47.0,65.0,459.0,1678.0,99.0,1349.0,522.0,5738.0,305.0,11.0,70.0,95.0,2156.0,372.0,94.0,287.0,424.0,44.0,45.0,438.0
230.0,48.0,66.0,434.0,1520.0,98.0,1342.0,482.0,5544.0,254.0,14.0,63.0,89.0,2036.0,365.0,88.0,249.0,379.0,45.0,45.0,426.0
221.0,43.0,65.0,421.0,1288.0,94.0,1307.0,465.0,5314.0,231.0,10.0,63.0,85.0,1980.0,337.0,88.0,225.0,356.0,40.0,38.0,394.0
221.0,35.0,61.0,406.0,983.0,151.0,1257.0,443.0,5115.0,207.0,11.0,61.0,75.0,1891.0,320.0,86.0,215.0,337.0,27.0,38.0,368.0
