Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,166.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,21.0,0.0,0.0,10.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
1.0,0.0,0.0,3.0,50.0,0.0,0.0,8.0,145.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0
0.0,0.0,1.0,1.0,48.0,0.0,0.0,0.0,128.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,6.0,0.0,0.0,40.0
1.0,0.0,0.0,9.0,72.0,0.0,3.0,23.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0
3.0,0.0,0.0,4.0,68.0,6.0,0.0,-17.0,369.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,5.0,2.0,2.0,0.0,72.0
0.0,0.0,0.0,0.0,50.0,3.0,1.0,-3.0,270.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.0,0.0,0.0,0.0,10.0
1.0,1.0,0.0,13.0,85.0,4.0,7.0,2.0,266.0,26.0,3.0,0.0,4.0,5.0,2.0,1.0,0.0,6.0,6.0,0.0,34.0
1.0,0.0,0.0,1.0,124.0,5.0,16.0,2.0,300.0,23.0,0.0,0.0,1.0,26.0,3.0,1.0,11.0,19.0,1.0,0.0,53.0
1.0,0.0,1.0,14.0,154.0,3.0,14.0,2.0,431.0,40.0,4.0,0.0,2.0,26.0,5.0,0.0,0.0,23.0,0.0,2.0,47.0
1.0,2.0,2.0,12.0,172.0,10.0,10.0,4.0,361.0,35.0,5.0,3.0,3.0,35.0,3.0,3.0,6.0,18.0,7.0,5.0,81.0
2.0,0.0,0.0,4.0,140.0,11.0,22.0,19.0,808.0,48.0,2.0,5.0,4.0,64.0,9.0,0.0,11.0,34.0,8.0,1.0,55.0
6.0,1.0,5.0,40.0,170.0,15.0,11.0,27.0,769.0,65.0,0.0,0.0,9.0,153.0,14.0,6.0,18.0,53.0,2.0,1.0,127.0
