data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-07-01T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,32.0,0.0,32.0,138.0,170.0,-27.0,2.0,2655.0,464.0,3099.0,190.0,3289.0,106350.0,70898.0,-,-,-,-
2020-07-01T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,2.0,2.0,-1.0,0.0,373.0,27.0,401.0,1.0,402.0,39787.0,39007.0,NEL TOTALE DEI CASI POSITIVI SONO COMPRESI N. 2 PAZIENTI IN ISOLAMENTO DOMICILIARE PROVENIENTI DA ALTRA REGIONE,-,-,-
2020-07-01T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,4.0,0.0,4.0,22.0,26.0,-1.0,0.0,1058.0,97.0,1159.0,22.0,1181.0,95926.0,93892.0,-,-,-,-
2020-07-01T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,16.0,0.0,16.0,173.0,189.0,8.0,9.0,4078.0,432.0,4678.0,21.0,4699.0,285388.0,139678.0,-,-,-,-
2020-07-01T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,104.0,10.0,114.0,888.0,1002.0,-8.0,16.0,23242.0,4264.0,27970.0,538.0,28508.0,499426.0,298840.0,-,-,-,-
2020-07-01T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,6.0,0.0,6.0,50.0,56.0,11.0,4.0,2911.0,345.0,3311.0,1.0,3312.0,192106.0,107364.0,-,-,-,-
2020-07-01T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,190.0,12.0,202.0,630.0,832.0,-4.0,9.0,6448.0,839.0,5996.0,2123.0,8119.0,341083.0,279387.0,-,-,-,-
2020-07-01T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,42.0,3.0,45.0,235.0,280.0,0.0,5.0,8144.0,1558.0,8747.0,1235.0,9982.0,148585.0,79497.0,-,-,-,-
2020-07-01T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,277.0,41.0,318.0,9620.0,9938.0,-122.0,109.0,67422.0,16650.0,88747.0,5263.0,94010.0,1044975.0,625197.0,-,-,-,-
2020-07-01T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,8.0,0.0,8.0,240.0,248.0,-18.0,5.0,5551.0,987.0,6786.0,0.0,6786.0,138550.0,83726.0,n.4 decessi  precedentemente segnalati non risultano classificabili come COVID-19  positivi,-,-,-
2020-07-01T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,25.0,25.0,0.0,0.0,397.0,23.0,444.0,1.0,445.0,22886.0,21809.0,-,-,-,-
2020-07-01T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,3.0,1.0,4.0,80.0,84.0,0.0,3.0,2266.0,292.0,2642.0,0.0,2642.0,84846.0,41389.0,-,-,-,-
2020-07-01T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,1.0,0.0,1.0,46.0,47.0,-3.0,1.0,4412.0,405.0,3378.0,1486.0,4864.0,122574.0,63299.0,-,-,-,-
2020-07-01T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,260.0,11.0,271.0,1082.0,1353.0,-70.0,16.0,25921.0,4091.0,27132.0,4233.0,31365.0,419291.0,261774.0,-,-,-,-
2020-07-01T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,24.0,0.0,24.0,88.0,112.0,-17.0,0.0,3873.0,545.0,2159.0,2371.0,4530.0,180664.0,120651.0,Per 1491 casi non è disponibile la provenienza,-,-,-
2020-07-01T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,5.0,0.0,5.0,6.0,11.0,-3.0,0.0,1222.0,133.0,1360.0,6.0,1366.0,84569.0,71039.0,-,-,-,-
2020-07-01T17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,18.0,3.0,21.0,105.0,126.0,-2.0,1.0,2673.0,282.0,2749.0,332.0,3081.0,211496.0,172947.0,-,-,-,-
2020-07-01T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,13.0,5.0,18.0,305.0,323.0,-6.0,4.0,8825.0,1106.0,10036.0,218.0,10254.0,341165.0,231407.0,-,-,-,-
2020-07-01T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,3.0,1.0,4.0,6.0,10.0,0.0,0.0,1351.0,80.0,1428.0,13.0,1441.0,96602.0,65770.0,-,-,-,-
2020-07-01T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,2.0,0.0,2.0,1.0,3.0,-1.0,0.0,1046.0,146.0,1083.0,112.0,1195.0,18414.0,13892.0,-,-,-,-
2020-07-01T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,17.0,0.0,17.0,401.0,418.0,-44.0,3.0,16849.0,2022.0,19259.0,30.0,19289.0,970793.0,411837.0,-,-,-,-
