data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-07-24T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,22.0,1.0,23.0,1095.0,1118.0,26.0,53.0,72055.0,2514.0,-,-,75687.0,1805596.0,721758.0,-,0.0,-,-,75687,0,1244042,561554,ITF,ITF1
2021-07-24T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,16.0,0.0,16.0,553.0,569.0,8.0,27.0,26054.0,591.0,-,-,27214.0,406602.0,216001.0,"Il numero totale dei decessi ne comprende n. 22 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0.0,-,-,27214,0,387263,19339,ITF,ITF5
2021-07-24T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,52.0,4.0,56.0,2127.0,2183.0,92.0,136.0,66679.0,1244.0,-,-,70106.0,977741.0,893667.0,L’ASP di Catanzaro comunica che dei 35 positivi di oggi due sono soggetti residenti fuori regione.						L’ ASP di Crotone comunica che dei 12 positivi di oggi due  sono migranti.						 L’ ASP di Reggio Calabria comunica che  dei 48 soggetti positivi di oggi uno è migrante sbarcato a Rocella Ionica.						 L'Asp di Vibo comunica un guarito nel setting fuori regione.						,0.0,-,-,70092,14,903324,74417,ITF,ITF6
2021-07-24T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,176.0,12.0,188.0,7879.0,8067.0,223.0,341.0,413214.0,7579.0,-,-,428860.0,5580523.0,3325064.0,-,1.0,-,-,417272,11588,4750750,829773,ITF,ITF3
2021-07-24T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,150.0,9.0,159.0,4150.0,4309.0,403.0,468.0,373276.0,13272.0,-,-,390857.0,7124589.0,1945440.0,-,1.0,-,-,390526,331,5170921,1953668,ITH,ITH5
2021-07-24T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,7.0,2.0,9.0,396.0,405.0,41.0,68.0,103339.0,3789.0,-,-,107533.0,2273538.0,707916.0,Il totale dei casi positivi è stato ridotto di 2 a seguito di un test antigenico non confermato dal successivo tampone molecolare (relativo alla provincia di Pordenone) e di un test positivo rimosso dopo revisione del caso (relativo alla provincia di Trieste),2.0,-,-,92969,14564,1871641,401897,ITH,ITH4
2021-07-24T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,196.0,32.0,228.0,6178.0,6406.0,579.0,845.0,338840.0,8390.0,-,-,353636.0,8205726.0,4530827.0,-,2.0,-,-,344818,8818,5157457,3048269,ITI,ITI4
2021-07-24T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,21.0,5.0,26.0,797.0,823.0,109.0,140.0,99315.0,4359.0,-,-,104497.0,1877811.0,723850.0,-,0.0,-,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,104497,0,1435497,442314,ITC,ITC3
2021-07-24T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,153.0,26.0,179.0,7958.0,8137.0,408.0,574.0,806903.0,33815.0,-,-,848855.0,12322417.0,4837309.0,-,0.0,-,-,792477,56378,9742144,2580273,ITC,ITC4
2021-07-24T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,15.0,3.0,18.0,1628.0,1646.0,31.0,105.0,100089.0,3039.0,-,-,104774.0,1352059.0,789059.0,-,0.0,-,-,104774,0,1201186,150873,ITI,ITI3
