data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-12-28T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,160.0,24.0,184.0,9709.0,9893.0,479.0,696.0,85188.0,2631.0,-,-,97712.0,3401588.0,995667.0,è stato eliminato 1 caso dei giorni passati in quanto non paziente Covid,3.0,-,-,97712,0,1706692,1694896,ITF,ITF1
2021-12-28T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,50.0,1.0,51.0,3140.0,3191.0,414.0,446.0,30888.0,632.0,-,-,34711.0,538062.0,260719.0,"Il dato relativo al valore giornaliero dei ""Casi identificati da test antigenico"" risulta uguale a 0, in quanto, pur essendo somministrati, i test rapidi risultati positivi sono tutti ritestati con tamponi processati con test molecolare. Il numero totale dei decessi ne comprende n. 23 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.   ",0.0,-,-,34711,0,510347,27715,ITF,ITF5
2021-12-28T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,295.0,24.0,319.0,11713.0,12032.0,908.0,1091.0,92872.0,1595.0,-,-,106499.0,1626744.0,1324064.0,-,3.0,-,L'asp di Crotone comunica: L'incremento dei casi di è 114. In piattaforma ne risultano 109 perché nei giorni precedenti 5 positivi noti sono stati classificati come nuovi  casi		 L' Asp di Catanzaro comunica 202 nuovi soggetti positivi di cui 15 residenti fuori regione 		 L'Asp di Reggio Calabria comunica 493 nuovi soggetti positivi di cui 17 fuori regione 		 L' Asp di Cosenza comunica 103  nuovi soggetti positivi di cui 2 residenti fuori regione 		,105865,634,1247253,379491,ITF,ITF6
2021-12-28T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,534.0,35.0,569.0,45745.0,46314.0,6004.0,7181.0,492628.0,8439.0,-,-,547381.0,9092797.0,3842549.0,-,7.0,-,"a seguito delle verifiche quotidiane, si evince che quattro decessi registrati oggi, risalgono ad un periodo compreso tra il 22/12/2021 e il 25/12/2021",535793,11588,6325424,2767373,ITF,ITF3
2021-12-28T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,1286.0,112.0,1398.0,57974.0,59372.0,1653.0,3427.0,442001.0,14176.0,-,-,515549.0,11495602.0,2373631.0,"Sono stati eliminati 8 casi, positivi a test antigenico ma non confermati da tampone molecolare.",14.0,-,-,514948,601,7195723,4299879,ITH,ITH5
2021-12-28T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,283.0,26.0,309.0,8742.0,9051.0,219.0,737.0,136564.0,4197.0,-,-,149812.0,4445465.0,953936.0,Il totale dei casi positivi è stato ridotto di 4 a seguito di 2 test antigenici non confermati dai successivi tamponi molecolari (casi relativi alla provincia di TS) e a seguito di 2 test positivi rimossi dopo revisione dei casi (1 caso relativo alla provincia di TS e 1 caso relativo alla provincia di UD).		,0.0,-,-,130117,19695,2615664,1829801,ITH,ITH4
2021-12-28T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,1025.0,135.0,1160.0,54903.0,56063.0,2658.0,4288.0,420400.0,9243.0,-,-,485706.0,12622786.0,5056717.0,-,11.0,-,-,473167,12539,6807433,5815353,ITI,ITI4
2021-12-28T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,508.0,41.0,549.0,10974.0,11523.0,990.0,1146.0,127135.0,4567.0,-,-,143225.0,3473714.0,1031890.0,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,3.0,-,*di cui 473 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,143225,0,1968108,1505606,ITC,ITC3
2021-12-28T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,1698.0,193.0,1891.0,148300.0,150191.0,26311.0,28795.0,918887.0,34980.0,-,-,1104058.0,24271080.0,6690646.0,-,14.0,-,-,931995,172063,12825164,11445916,ITC,ITC4
2021-12-28T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,212.0,42.0,254.0,6759.0,7013.0,187.0,1098.0,129627.0,3224.0,-,-,139864.0,1959677.0,1142553.0,-,0.0,-,-,139864,0,1618394,341283,ITI,ITI3
