data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-08-10T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,24.0,1.0,25.0,194.0,219.0,6.0,7.0,2818.0,472.0,3175.0,334.0,3509.0,136365.0,88650.0,-,-,-,-
2020-08-10T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,72.0,72.0,-3.0,0.0,376.0,28.0,402.0,74.0,476.0,49392.0,48602.0,-,-,-,-
2020-08-10T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,8.0,1.0,9.0,92.0,101.0,1.0,2.0,1091.0,97.0,1159.0,130.0,1289.0,128190.0,126156.0,-,-,-,-
2020-08-10T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,34.0,1.0,35.0,363.0,398.0,10.0,14.0,4254.0,439.0,5004.0,87.0,5091.0,350363.0,183401.0,-,-,-,-
2020-08-10T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,79.0,4.0,83.0,1708.0,1791.0,31.0,39.0,24073.0,4296.0,28533.0,1627.0,30160.0,731849.0,440041.0,-,-,-,-
2020-08-10T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,10.0,3.0,13.0,151.0,164.0,-2.0,0.0,2938.0,347.0,3418.0,31.0,3449.0,269791.0,131332.0,-,-,-,-
2020-08-10T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,195.0,8.0,203.0,878.0,1081.0,35.0,38.0,6912.0,867.0,6260.0,2600.0,8860.0,442833.0,362827.0,-,-,-,-
2020-08-10T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,20.0,2.0,22.0,190.0,212.0,-4.0,10.0,8512.0,1569.0,8455.0,1838.0,10293.0,202008.0,108164.0,-,-,-,-
2020-08-10T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,150.0,9.0,159.0,5388.0,5547.0,-41.0,31.0,74504.0,16833.0,90038.0,6846.0,96884.0,1374709.0,822142.0,-,-,-,-
2020-08-10T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,11.0,0.0,11.0,154.0,165.0,-3.0,2.0,5804.0,987.0,6956.0,0.0,6956.0,176830.0,105420.0,-,-,-,-
2020-08-10T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,1.0,0.0,1.0,32.0,33.0,-2.0,0.0,423.0,23.0,475.0,4.0,479.0,29162.0,28003.0,-,-,-,-
2020-08-10T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,8.0,0.0,8.0,120.0,128.0,0.0,1.0,2354.0,292.0,2774.0,0.0,2774.0,114630.0,59515.0,-,-,-,-
2020-08-10T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,7.0,0.0,7.0,72.0,79.0,1.0,1.0,4512.0,405.0,3400.0,1596.0,4996.0,162989.0,75139.0,-,-,-,-
2020-08-10T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,87.0,3.0,90.0,719.0,809.0,-13.0,20.0,26943.0,4136.0,24928.0,6960.0,31888.0,522100.0,318659.0,-,-,-,-
2020-08-10T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,36.0,1.0,37.0,176.0,213.0,26.0,26.0,3973.0,554.0,1818.0,2922.0,4740.0,256997.0,177798.0,per 880 casi non e' disponibile la provenienza,-,-,-
2020-08-10T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,6.0,0.0,6.0,56.0,62.0,2.0,2.0,1245.0,134.0,1375.0,66.0,1441.0,113405.0,95974.0,-,-,-,-
2020-08-10T17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,45.0,6.0,51.0,399.0,450.0,30.0,32.0,2751.0,284.0,2910.0,575.0,3485.0,296533.0,230105.0,-,-,-,-
2020-08-10T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,16.0,1.0,17.0,501.0,518.0,8.0,8.0,8997.0,1137.0,10377.0,275.0,10652.0,451421.0,297261.0,-,-,-,-
2020-08-10T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,8.0,0.0,8.0,46.0,54.0,5.0,5.0,1376.0,80.0,1457.0,53.0,1510.0,128298.0,81825.0,-,-,-,-
2020-08-10T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,5.0,0.0,5.0,10.0,15.0,1.0,1.0,1056.0,146.0,1099.0,118.0,1217.0,22524.0,16161.0,-,-,-,-
2020-08-10T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,29.0,6.0,35.0,1222.0,1257.0,17.0,20.0,17336.0,2083.0,19543.0,1133.0,20676.0,1315887.0,510459.0,-,-,-,-
