data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-10-14T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,49.0,5.0,54.0,1343.0,1397.0,13.0,45.0,77839.0,2550.0,-,-,81786.0,2331132.0,862033.0,-,0.0,-,-,81786,0,1444161,886971,ITF,ITF1
2021-10-14T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,26.0,0.0,26.0,1055.0,1081.0,-46.0,11.0,28790.0,621.0,-,-,30492.0,474059.0,240205.0,"Il numero totale dei decessi ne comprende n. 23 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0.0,-,-,30492,0,451086,22973,ITF,ITF5
2021-10-14T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,92.0,11.0,103.0,2707.0,2810.0,0.0,115.0,81119.0,1429.0,-,-,85358.0,1233584.0,1081963.0,-,0.0,-,L'asp di Crotone comunica 17 nuovi soggetti positivi di cui 3 Fuori Regione.,85342,16,1065858,167726,ITF,ITF6
2021-10-14T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,172.0,17.0,189.0,5881.0,6070.0,82.0,313.0,445942.0,8000.0,-,-,460012.0,6821703.0,3564284.0,-,0.0,-,"si specifica che un decesso registrato oggi, risale al giorno 27/09/2021",448424,11588,5344381,1477322,ITF,ITF3
2021-10-14T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,319.0,36.0,355.0,14661.0,15016.0,-3.0,196.0,398648.0,13524.0,-,-,427188.0,9198377.0,2118452.0,"Sono stati eliminati 2 casi, positivi a test antigenico ma non confermati da tampone molecolare.",2.0,-,-,426825,363,5978951,3219426,ITH,ITH5
2021-10-14T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,40.0,8.0,48.0,807.0,855.0,20.0,87.0,109959.0,3830.0,-,-,114644.0,2864716.0,822930.0,-,1.0,-,-,99269,15375,2172524,692192,ITH,ITH4
2021-10-14T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,305.0,50.0,355.0,8382.0,8737.0,-128.0,275.0,370652.0,8700.0,-,-,388089.0,9417904.0,4702362.0,-,2.0,-,-,378804,9285,5655495,3762409,ITI,ITI4
2021-10-14T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,51.0,6.0,57.0,822.0,879.0,-8.0,66.0,108279.0,4416.0,-,-,113574.0,2412903.0,876060.0,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,1.0,-,*di cui 40 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,113574,0,1670510,742393,ITC,ITC3
2021-10-14T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,300.0,54.0,354.0,7878.0,8232.0,-227.0,273.0,845440.0,34108.0,-,-,887780.0,15749756.0,5595899.0,-,2.0,-,-,822064,65716,10983316,4766440,ITC,ITC4
2021-10-14T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,41.0,13.0,54.0,2037.0,2091.0,-92.0,40.0,109538.0,3085.0,-,-,114714.0,1583466.0,920387.0,-,1.0,-,-,114714,0,1368115,215351,ITI,ITI3
