data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2022-04-05T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,323.0,15.0,338.0,42287.0,42625.0,-55.0,2900.0,278879.0,3115.0,-,-,324619.0,5501723.0,1201620.0,Del totale dei positivi è stato eliminato un caso in quanto non paziente Covid.,2.0,-,-,173313,151306,2192073,3309650,ITF,ITF1
2022-04-05T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,99.0,1.0,100.0,26474.0,26574.0,172.0,1094.0,83162.0,839.0,-,-,110575.0,931949.0,330468.0,"Il numero totale dei decessi ne comprende n. 33 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0.0,-,-,62997,47578,641896,290053,ITF,ITF5
2022-04-05T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,364.0,20.0,384.0,79588.0,79972.0,1304.0,3641.0,226571.0,2340.0,-,-,308883.0,2715397.0,2057627.0,-,4.0,-,L'ASP di Catanzaro comunica 782 nuovi soggetti positivi di cui 1 fuori regione. L'ASP di Cosenza comunica  952 nuovi soggetti positivi di cui  7 fuori regione. L'ASP di Vibo Valentia 363 nuovi soggetti positivi di cui 3 fuori regione.,178052,130831,1599822,1115575,ITF,ITF6
2022-04-05T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,725.0,35.0,760.0,168869.0,169629.0,-1023.0,10099.0,1255904.0,10066.0,-,-,1435599.0,15106290.0,4763784.0,-,7.0,-,a seguito delle verifiche odierne si evince che 3 decessi registrati oggi risalgono al periodo tra il 27/03 e l'1/04 2022,883603,551996,8429830,6676460,ITF,ITF3
2022-04-05T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,1206.0,38.0,1244.0,52953.0,54197.0,287.0,3103.0,1231106.0,16314.0,-,-,1301617.0,15220218.0,2686565.0,"Sono stati eliminati 3 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",13.0,-,-,888694,412923,8805787,6414431,ITH,ITH5
2022-04-05T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,143.0,5.0,148.0,23993.0,24141.0,832.0,1562.0,310311.0,4926.0,-,-,339378.0,6119536.0,1110668.0,"1 caso precedentemente segnalato come caso confermato da test antigenico, dopo verifica, è stato riclassificato come caso confermato da test molecolare (caso relativo alla provincia di UD)		",0.0,-,-,191175,148203,3206085,2913451,ITH,ITH4
2022-04-05T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,1146.0,78.0,1224.0,131993.0,133217.0,5587.0,9903.0,1180760.0,10814.0,-,-,1324791.0,19544909.0,5537390.0,-,7.0,-,-,910269,414522,8451548,11093361,ITI,ITI4
2022-04-05T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,250.0,8.0,258.0,16896.0,17154.0,-325.0,1979.0,369576.0,5213.0,-,-,391943.0,5143516.0,1275076.0,-,1.0,-,*di cui  11937 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021]. ,224389,167554,2377469,2766047,ITC,ITC3
2022-04-05T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,1159.0,39.0,1198.0,160837.0,162035.0,-3547.0,11666.0,2374269.0,39347.0,-,-,2575651.0,35257561.0,8046896.0,-,0.0,-,-,1368948,1206703,15535413,19722148,ITC,ITC4
2022-04-05T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,231.0,10.0,241.0,12365.0,12606.0,-644.0,2814.0,384272.0,3733.0,-,-,400611.0,2908235.0,1906917.0,-,0.0,-,-,209977,190634,1956198,952037,ITI,ITI3
